row_key,label,game,score,run_count
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),boxing,-2.5,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),breakout,3.9,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),demon_attack,38.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),fishing_derby,-8.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),freeway,3.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),gopher,16.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),journey_escape,-6910.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),laser_gates,309.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),name_this_game,206.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),pacman,13.9,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),phoenix,142.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),qbert,220.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),riverraid,448.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),robotank,1.3,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),seaquest,16.0,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),tennis,-2.6,10
gpt-5.4-mini|structured_history|none|none,GPT-5.4 Mini (None),time_pilot,180.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),air_raid,215.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),assault,147.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),beam_rider,140.8,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),boxing,-6.5,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),breakout,4.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),demon_attack,44.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),fishing_derby,-8.2,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),freeway,3.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),gopher,28.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),journey_escape,-6370.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),laser_gates,703.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),name_this_game,206.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),pacman,10.8,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),phoenix,268.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),qbert,227.5,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),riverraid,296.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),robotank,1.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),seaquest,80.0,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),tennis,-2.6,10
claude-opus-4-6|structured_history|default|high,Claude Opus 4.6 (High),time_pilot,120.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),air_raid,272.5,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),assault,161.7,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),beam_rider,127.6,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),boxing,-5.6,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),breakout,3.5,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),demon_attack,47.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),fishing_derby,-7.6,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),freeway,3.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),gopher,4.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),journey_escape,-330.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),laser_gates,212.5,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),name_this_game,229.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),pacman,24.8,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),phoenix,220.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),qbert,232.5,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),riverraid,600.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),robotank,0.6,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),seaquest,64.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),tennis,-3.0,10
claude-opus-4-6|structured_history|default|low,Claude Opus 4.6 (Low),time_pilot,200.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),air_raid,297.5,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),assault,159.6,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),beam_rider,158.4,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),boxing,-7.1,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),breakout,3.1,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),demon_attack,58.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),fishing_derby,-6.4,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),freeway,3.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),gopher,0.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),journey_escape,-2040.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),laser_gates,457.5,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),name_this_game,233.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),pacman,15.1,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),phoenix,226.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),qbert,250.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),riverraid,592.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),robotank,1.7,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),seaquest,42.0,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),tennis,-2.4,10
claude-sonnet-4-6|structured_history|default|high,Claude Sonnet 4.6 (High),time_pilot,180.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),air_raid,235.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),assault,136.5,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),beam_rider,123.2,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),boxing,-4.9,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),breakout,3.2,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),demon_attack,45.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),fishing_derby,-8.6,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),freeway,3.0,10
